SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.4,3.0,4.5,1.5,versicolor
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
5.1397371322408985,3.5200394280276703,1.333680399126234,0.19498567221814625,setosa
4.888938855906305,3.027715856759758,1.3551855167842424,0.2764113856400991,setosa
4.751815083048055,3.1455980222737208,1.359783488409861,0.12114191629315652,setosa
4.721842388512641,3.1185802957728805,1.5488296212346773,0.24032372124142756,setosa
4.981267730022133,3.6234457978638948,1.398327872482868,0.15757939053020475,setosa
5.381269043444066,3.8428518865578907,1.7093861906647025,0.3365701734190125,setosa
4.726337025240591,3.5492619608915805,1.5022131916630739,0.29143757120363534,setosa
5.061394778332232,3.437906633672943,1.4526742888931337,0.11718061420645008,setosa
4.362442049125204,2.804695720223788,1.443767790493603,0.15570805557222545,setosa
4.943404803486877,3.1525242886907066,1.4838245878052885,0.0041697685928921285,setosa
5.362926584575003,3.6220254663818143,1.4825855037418223,0.3571780106333111,setosa
4.7627416197143795,3.462966768299396,1.6879021481589753,0.2028210841577383,setosa
4.819356981725282,3.0926876463205923,1.4660333079190422,0.04402195936059316,setosa
4.146937580427376,2.934345414531863,1.1650807708800512,0.11711839285873776,setosa
5.6620065733989575,4.077070090339546,1.3044383045723462,0.19101375602473364,setosa
5.655016997660723,4.43302247415492,1.5016803073306206,0.3823224320373422,setosa
5.3189735103732465,3.9657648127995593,1.3545562377035971,0.44913333600347405,setosa
5.125139786607622,3.651743438612316,1.3751786594725235,0.3606006168037844,setosa
5.627358073958304,3.78036895071977,1.7259333081990753,0.2575599081911578,setosa
4.987015703893176,3.739701106851401,1.4895885556505852,0.2539345407484256,setosa
5.517251901513725,3.3288388456299582,1.7077596771994175,0.17799586422786848,setosa
5.081937895961077,3.634735177202765,1.547612562034953,0.21584630682115324,setosa
4.605402256375034,3.5938318632468715,0.9345423453413222,0.07878471502411583,setosa
4.986020145102923,3.3272921579853314,1.867390982054837,0.609349941395562,setosa
4.756449382037985,3.4221352639464016,1.8195186094800238,0.3315974170801027,setosa
5.008873807176789,3.066174659922882,1.5028649109769816,0.18007711683548974,setosa
4.907920513806216,3.4010401513502324,1.6926488698800055,0.44612455704446136,setosa
5.230055841467654,3.616282726172585,1.5633330155170349,0.2249000123634829,setosa
5.1519489048064955,3.3788274533409632,1.4499295853641723,0.446310464676419,setosa
4.676664500016538,3.4176135333271698,1.6502676407411425,0.28956599291476615,setosa
4.751863471021648,3.1500533878212007,1.599020258172247,0.1897665926815387,setosa
5.548182254760715,3.3314273954866973,1.4282196502811335,0.32355676475196593,setosa
5.198920222020965,4.01432860015511,1.506064364655498,-0.02851570562060579,setosa
5.415383125683528,4.238597793219455,1.345827063079031,0.21627709086937785,setosa
4.965803592968255,3.082122977173932,1.57800957867342,0.13949194037725574,setosa
4.902332508002318,3.2571200395273676,1.1882354094798289,0.08621970323218607,setosa
5.516709087600381,3.5378590099658838,1.2339602242565992,0.1482741692605979,setosa
4.743226390089618,3.59417368698745,1.3742891326677604,0.01347615971084841,setosa
4.293745116088126,2.9322565025545275,1.33303451634205,0.3349713308058052,setosa
5.11574889886953,3.2788122220251306,1.4549020357756821,0.27053118055595604,setosa
5.059077326399633,3.464278803834638,1.2342223683546856,0.2993621886946706,setosa
4.513709462495197,2.3685119035458775,1.3194949769193531,0.4183955311112021,setosa
4.390748137408941,3.2171274995304167,1.319597325688698,0.20618946461180948,setosa
4.975911704352857,3.400340897703041,1.5594445459703097,0.5310972638937389,setosa
4.981718240770605,3.813854474068094,1.862316935550534,0.5218499261815726,setosa
4.7424124633284235,3.030825390378307,1.4185639949886109,0.3431128034947727,setosa
5.063148898323217,3.729291405103909,1.4841532526802141,0.11702030765388349,setosa
4.684569778097513,3.2122980084756425,1.2874028980498755,0.18477290575331135,setosa
5.327489463165477,3.7046566974756803,1.442524462299805,0.12995053972921944,setosa
4.858956787570981,3.20856237617355,1.382924227863052,0.08937602152285312,setosa
7.025926717551584,3.228622988827863,4.724872605247841,1.4740942038025313,versicolor
6.369193417566695,3.244862762109459,4.618028497355964,1.6527533312376104,versicolor
6.845846239975524,3.186644099454022,4.968612769856162,1.3881145940944688,versicolor
5.548934103107269,2.384304164162792,3.987204917602926,1.3450375389352458,versicolor
6.582479961799676,2.6897864505634326,4.5984787033677845,1.447948594470254,versicolor
5.774502409529296,2.72497399680679,4.419797650828976,1.2610299692988243,versicolor
6.232862598142189,3.3412028213766924,4.698518949120609,1.5526084860608906,versicolor
4.875263009931903,2.4411028760729767,3.276907308886389,0.9308807384256147,versicolor
6.6265010745122845,2.9412038149044837,4.625817484827047,1.3038817302355863,versicolor
5.278043610169789,3.008218519252378,3.8338215245158143,1.3335239906871168,versicolor
4.961666060972377,2.0456712408554534,3.5415477211392936,1.021636546062387,versicolor
5.885147281866895,3.0908452512144478,4.322619113040206,1.495980951244069,versicolor
5.911493202079518,2.2763201410794562,3.991299188123451,0.9808841562506873,versicolor
6.004303470073546,2.952111300104464,4.732136937767915,1.3273949070366722,versicolor
5.665002065791535,2.874778460428772,3.655211519336889,1.2538582935545335,versicolor
6.808499202285666,3.1607175376394614,4.367902362249134,1.4604312980660603,versicolor
5.594239190273573,2.9381739828369944,4.517927398544833,1.5400733750099505,versicolor
5.880282631831362,2.6810545114607995,4.101007392062543,0.9217955804161159,versicolor
6.2289308820038105,2.161170916173672,4.507814087883906,1.507946584434338,versicolor
5.548390419631589,2.506549931150906,3.8381592172915626,1.1601109698697432,versicolor
5.928911648440674,3.385172685333881,4.801960813940715,1.6664475775102903,versicolor
6.223042925317277,2.65061878459266,4.039839863299636,1.3434688153903949,versicolor
6.2971339168712035,2.5549008152299613,5.016091488623604,1.4469900992843323,versicolor
6.22517149246512,2.6709827303048277,4.776741666086817,1.2456478934874526,versicolor
6.190420391672821,2.8622454507368453,4.472254596600925,1.2389392674765987,versicolor
6.665752200350018,3.087116047757389,4.338612194968956,1.2556094319468385,versicolor
6.806963765459053,2.805142401527637,4.869785650937654,1.269796604969347,versicolor
6.676079411962731,2.9137804177656554,5.014667360459068,1.7038467957329104,versicolor
6.00734086212284,2.8427757032592025,4.675184234657414,1.5207778001377186,versicolor
5.540994486831929,2.654367819914774,3.435336137171588,0.9276546699916473,versicolor
5.482426248972999,2.341570669462629,3.732822252625538,1.15108739670219,versicolor
5.528569005720939,2.417316687166558,3.652048588364478,0.8670783950184833,versicolor
5.918231523579321,2.703645747192305,3.7300883420552156,1.1947136161082146,versicolor
5.958538382538109,2.6478719721915347,5.057939598265539,1.5031187040190035,versicolor
5.335320511768545,3.1715155271460262,4.439269387075704,1.4478531113758273,versicolor
5.959859436513237,3.450713521785441,4.512031502918097,1.6037918937053133,versicolor
6.773232169416166,2.9379885930673915,4.727340478062173,1.4311669307772839,versicolor
6.326300088772775,2.314916345181554,4.550093667137271,1.269235556461614,versicolor
5.557619183698637,2.947057082818529,4.176033907054884,1.3805034247371553,versicolor
5.541061394649068,2.568194666783698,3.9538477075470078,1.253848650438148,versicolor
5.507766203947844,2.536598340925384,4.328126826292132,1.2668553689652113,versicolor
6.1774915992426305,2.990821084682648,4.63935353372052,1.3096234516273904,versicolor
5.743835752489812,2.6403989823184366,3.8943813434383485,1.2423843342332226,versicolor
4.973787028272178,2.3692604155336094,3.446516701268348,1.1153254896526321,versicolor
5.568631347749427,2.603976287435538,4.294355209657703,1.1022684399898168,versicolor
5.582918804149431,2.973239901132724,4.162465947831624,1.136248379562362,versicolor
5.723689622165166,2.8620043751071234,4.06294923767273,1.3461657701744432,versicolor
6.220884421774391,2.847733661394103,4.408309789933233,1.2837563691165605,versicolor
5.100409076531396,2.6412363392224876,2.9908368123797904,1.1296916698697048,versicolor
5.681233029329989,2.8323985368768763,4.1990253049578765,1.2516811850627343,versicolor
6.186770340635967,3.199129283653196,5.872445787296451,2.506927182997832,virginica
5.766348374178771,2.7734289557643823,5.052049998163698,1.8875458211686336,virginica
7.072582838677858,3.1697724957610105,5.900419495977455,2.1934225649327845,virginica
6.23581781846227,2.9825972208440916,5.603758447501179,1.820353667464097,virginica
6.48709714306672,2.878450402723679,5.76399476228166,2.2270082129660165,virginica
7.632324068545163,2.9612612741707,6.6498279945878,2.067049842710203,virginica
5.050894872096843,2.60135289193493,4.414590365649392,1.6609915020742005,virginica
7.313966225026547,2.8433864427504973,6.288609641198296,1.7653953449744304,virginica
6.720604031257821,2.5355055542516984,5.809623650536952,1.8315561713902637,virginica
7.194044326738707,3.661970724274347,6.1411551067247,2.466321241534379,virginica
6.346498302776077,3.1258455622737538,5.15692919024711,2.023181988551713,virginica
6.397878889964063,2.695237971515056,5.21002863265297,2.066032063891635,virginica
6.804818416795282,2.7406986127944744,5.37727086634115,2.1696899762745354,virginica
5.897059368998823,2.418048988693257,5.102214145751881,1.9739181174265727,virginica
5.78461112281751,2.779794547888547,5.126585120958367,2.4960971137731156,virginica
6.424123787386689,3.100177345442812,5.240121077075475,2.267353970158276,virginica
6.497223058423581,3.130592904314531,5.624092158041802,1.6369500371857717,virginica
7.606505756990438,3.6855886897631494,6.709253970743429,2.1193530951266077,virginica
7.791425825161202,2.5647964410642414,6.994343774725106,2.1503366463179314,virginica
6.0601546426149415,2.2104592461828876,5.005401478512809,1.4718789212766954,virginica
6.963282555763444,3.3153018631252893,5.864859833990559,2.301473470335164,virginica
5.52724900361642,2.6851310279056446,5.040427267395457,2.1341149849820225,virginica
7.812223544874888,2.8930531001723967,6.680082868121675,2.026154189901133,virginica
6.187851914976617,2.700818644881567,4.977725676076349,1.782471957695291,virginica
6.746948567504022,3.2214793079161637,5.751630075966812,2.1663524464946793,virginica
7.375236450064799,3.236968277941062,6.109490524602588,1.6231091752793692,virginica
6.120757093989545,2.8159247756458776,4.722806123153592,1.8188491646486853,virginica
6.054696181631778,2.9519826498272965,4.954884116799875,1.8616692155109573,virginica
6.407972109207011,2.805584166799201,5.6846739589479665,1.9817131003376127,virginica
7.159721947670704,2.9691749122510593,5.659300841086151,1.6915003234565544,virginica
7.27594692551471,2.8090813876200995,6.005339318986738,1.9270797125995531,virginica
7.905485037984483,3.8529704539616834,6.236861425779193,1.9667769668879358,virginica
6.315015702901912,2.926881345291628,5.578447453244435,2.250622549288503,virginica
6.3378873944508145,2.700974760093852,5.157403380463677,1.6816554286243517,virginica
6.026446061261296,2.7706426699725015,5.720188564167682,1.4145493004046796,virginica
7.823994752401403,2.8438329760382,6.105927582433582,2.3198576469040266,virginica
6.237339736613101,3.387857192397153,5.730289243645703,2.3632511280367803,virginica
6.374235078703546,3.1470653765187664,5.389591883342809,1.7320124504428167,virginica
6.065081377389574,3.0224793494188025,4.663729404851588,1.8664268653235396,virginica
6.801530854685284,3.0501840384143524,5.395556184088271,2.031513293927291,virginica
6.71819679476833,3.0833502199714182,5.630725235915144,2.4057252989775515,virginica
7.004571420342595,3.0605599252272935,5.097384420152472,2.2617874042587904,virginica
5.671401341235102,2.6528508194444633,4.93460463199681,1.9383183860597113,virginica
6.814770708682584,3.267968167761682,5.892870396838977,2.3266929684229556,virginica
6.720790623539874,3.3285612388772035,5.595642439959612,2.583003195540632,virginica
6.762545829742185,2.9445672323791476,5.253573803906403,2.25919868809162,virginica
6.201043943129753,2.57196799003466,5.029327859687748,1.8784100051765302,virginica
6.394363470953258,3.0245839616701287,5.1248096170938116,1.9216989027374154,virginica
6.241755325249352,3.4650289695071166,5.358890646613065,2.264456539193911,virginica
5.923758773858656,3.050370307353889,5.015262918248884,1.8301840394435882,virginica
