StudentID	Name	AttendanceRate	StudyHoursPerWeek	PreviousGrade	AssignmentScore	FinalGrade	Performance	InternalMarks	AttendancePercent	StudyConsistency	ParticipationScore
49	Student_49	65.27	5.51	71.6	75.1	64.88	Average	60.09	65.27	24.24	58.02
50	Student_50	92.01	19.31	75.26	97.86	85.47	Good	89.83	92.01	72.65	90.05
51	Student_51	74.58	9.71	51.13	58.82	68.38	Average	75.63	74.58	42.08	63.37
52	Student_52	81.66	18.25	77.36	84.73	82.22	Good	75.09	81.66	64.86	81.54
53	Student_53	58.89	6.03	38.62	49.16	39.47	Fail	40.86	58.89	17.44	38.49
54	Student_54	81.59	14.31	67.58	59.94	50.78	Average	49.26	81.59	67.92	51.63
55	Student_55	56.56	5.17	31.49	47.41	41.88	Fail	45.38	56.56	18.13	53.52
56	Student_56	58.36	6.4	33.09	36.88	44.49	Fail	38.41	58.36	29.25	42.8
57	Student_57	77.39	11.57	60.44	60.67	70.4	Average	78.54	77.39	54.77	78.93
58	Student_58	69.99	5.86	37.89	49.76	37.18	Fail	29.14	69.99	11.87	40.54
59	Student_59	52.29	7.42	33.97	58.76	38.88	Fail	37.66	52.29	35.31	48.81
60	Student_60	83.7	17.21	96.19	93.31	95.16	Good	97.33	83.7	72.08	92.79
61	Student_61	66.47	5.85	54.63	41.24	39.74	Fail	36.31	66.47	31.6	44.61
62	Student_62	55.53	7.91	57.38	35.99	44.04	Fail	39.82	55.53	25.73	43.63
63	Student_63	88.13	5.99	63.63	76.06	50.85	Average	51.96	88.13	31.22	29.92
64	Student_64	67.44	3.08	56.81	59.28	48.79	Fail	49.18	67.44	8.62	41.16
65	Student_65	76.86	13.48	70.27	62.34	70.64	Average	70.67	76.86	59.19	74.72
66	Student_66	80.74	18.14	76.9	78.01	76.92	Good	81.21	80.74	72.38	80.53
67	Student_67	82.41	7.74	67.39	56.5	57.85	Average	55.88	82.41	34.81	48.79
68	Student_68	90.79	21.44	79.56	90.65	97.15	Good	98.75	90.79	86	98.69
69	Student_69	65.4	2.63	30.71	56.75	30.42	Fail	27.89	65.4	1.32	33.94
70	Student_70	86.87	9.82	72.54	73.37	74.85	Average	70.6	86.87	23.68	74.61
71	Student_71	58.77	6.37	41.66	47	42.49	Fail	41.07	58.77	26.53	47.59
72	Student_72	86.84	14.82	68.44	64.61	60.49	Average	58	86.84	57.96	64.64
73	Student_73	83.44	6.63	52.65	63.16	57.15	Average	54.91	83.44	28.51	56.9
74	Student_74	85.93	11.97	71.26	75.45	99.69	Good	100	85.93	46.62	96.11
75	Student_75	60.69	3.69	49.71	40.46	48.9	Fail	47.63	60.69	24.85	56.2
76	Student_76	69.66	1.63	42.11	56.98	48.8	Fail	45.49	69.66	7.67	52.04
77	Student_77	76.69	10.75	54.01	77.8	55.77	Average	55.91	76.69	40.77	46.1
78	Student_78	73.57	5.55	47.62	47.82	34.59	Fail	35.11	73.57	23.89	36.14
79	Student_79	69.41	6.43	54.47	72.93	58.72	Average	52.79	69.41	23.58	50.66
80	Student_80	51.45	7.78	55.63	58.19	49.8	Fail	48.31	51.45	31.58	43.05
81	Student_81	83.48	14.74	92.75	92.4	78.85	Good	77.16	83.48	52.87	74.29
82	Student_82	70.4	2.57	36.49	48.42	41.8	Fail	40.94	70.4	10.24	42.11
83	Student_83	64.5	1.64	55.45	41.64	32.58	Fail	36.21	64.5	4.17	35.2
84	Student_84	72.22	7.69	55	55.24	43.04	Fail	43.72	72.22	25.15	40.18
85	Student_85	63.77	1.61	41.85	44.32	35.17	Fail	41.31	63.77	16.32	32.61
86	Student_86	83.09	9.45	51.95	60.06	67.01	Average	66.95	83.09	32.38	63.49
87	Student_87	81.52	22.47	84.85	87.01	89.81	Good	98.69	81.52	89.91	97.14
88	Student_88	96.49	13.91	90.34	89.14	81.68	Good	79.38	96.49	51.63	61.71
89	Student_89	97.57	21.56	89.75	96.26	96.68	Good	92.83	97.57	87.73	94.52
90	Student_90	67.71	6.86	50.23	52	42.31	Fail	45.05	67.71	21.07	53.12
91	Student_91	83.82	5.74	71.14	75.05	50.73	Average	57.55	83.82	27.16	54.35
92	Student_92	85.65	5.42	58.04	72.1	54	Average	47.11	85.65	31.86	62.87
93	Student_93	85.45	13.15	62.18	55.15	57.15	Average	56.17	85.45	48.4	42.91
94	Student_94	65.42	7.87	48.32	41.5	42.62	Fail	39.57	65.42	37.56	33.92
95	Student_95	90.8	21.26	73.21	94.03	88.53	Good	89.24	90.8	83.13	92.13
96	Student_96	89.07	7.76	65.18	76.44	52.55	Average	52.6	89.07	38.57	63.4
97	Student_97	98.74	19.69	72.04	82.52	92.7	Good	99.43	98.74	89.7	84.71
98	Student_98	51.68	5.08	40.03	50.52	30.91	Fail	30.37	51.68	19.15	28.2
99	Student_99	71.79	7.81	58.1	53.74	32.59	Fail	39.46	71.79	23.64	35.4
100	Student_100	95.17	8.42	70.66	83.09	87.22	Good	85.64	95.17	38.42	77.05
101	Student_101	95.41	19.62	83.38	81.84	99.93	Good	100	95.41	79.6	100
102	Student_102	75.65	8.97	53.93	73.28	67.27	Average	68.41	75.65	38.39	48.54
103	Student_103	84.42	9.4	90.41	91.36	81.83	Good	90.48	84.42	35.9	85.28
104	Student_104	73.77	2.06	42.54	58.59	38.35	Fail	30.96	73.77	3.82	31.38
105	Student_105	80.96	8.37	56.58	77.63	60.19	Average	54.37	80.96	39.28	57.06
106	Student_106	87.35	6.53	55.11	55.72	66.23	Average	75.39	87.35	27.72	70.79
107	Student_107	74.21	13.51	61.36	77.27	54.62	Average	50.95	74.21	46.82	57.75
108	Student_108	97.37	21.2	93.13	96.12	94.03	Good	90.68	97.37	88.23	93.97
109	Student_109	65.66	1.92	30.94	58.02	42.27	Fail	37.89	65.66	10.11	49.05
110	Student_110	95.93	16.19	73.52	78.13	92.14	Good	97.88	95.93	63.13	80.24
111	Student_111	75.76	6.21	61.8	56.48	64.49	Average	58.22	75.76	32.94	65.92
112	Student_112	85.38	21.56	79.31	86.38	75.29	Good	75.4	85.38	83.15	69.76
113	Student_113	81.45	14.67	84.4	90	82.29	Good	80.96	81.45	57.84	88.72
114	Student_114	93.9	22.62	93.4	75.99	87.01	Good	92.19	93.9	94.32	91.82
115	Student_115	52.62	2.69	58.61	38.56	39.93	Fail	37.11	52.62	11.14	44.99
116	Student_116	80.45	11.73	63.43	55.22	58.13	Average	60.21	80.45	40	69.65
117	Student_117	62.94	1.62	40.17	35.83	31.56	Fail	25.7	62.94	7.4	39.44
118	Student_118	87.94	10.26	87.03	92.24	95.01	Good	100	87.94	38.97	93.91
119	Student_119	70	5.84	52.51	69.64	67.59	Average	66.39	70	27.64	67.58
120	Student_120	50.79	7.55	31.51	48.53	44.11	Fail	44.15	50.79	30.96	48.32
121	Student_121	97.42	20.14	94.05	83.49	95.37	Good	100	97.42	81.03	96.32
122	Student_122	67	13.84	63.14	73.8	61.26	Average	58.33	67	50.12	66.2
123	Student_123	92.87	16.95	91.95	77.04	76.51	Good	84.85	92.87	66.65	60.9
124	Student_124	56.18	2.12	55.28	40.48	49.42	Fail	47.36	56.18	13.33	62.59
125	Student_125	58.42	2.27	52.9	51.47	39.91	Fail	43.27	58.42	5.2	40.34
126	Student_126	78.88	11.91	55.48	77.92	74.27	Average	71.41	78.88	47.48	62.91
127	Student_127	81.26	6.19	66.33	56.66	50.76	Average	43.98	81.26	20.08	44.36
128	Student_128	71.44	9.09	70.84	71.72	68.49	Average	70.56	71.44	30.44	53.58
129	Student_129	88.51	13.88	81.13	99.69	76	Good	79.2	88.51	55.1	68.37
130	Student_130	97.34	17.84	83.16	93.13	87.17	Good	80.59	97.34	72.23	86.17
131	Student_131	86.84	13.91	60.12	61.37	64.75	Average	63.21	86.84	65.61	75.35
132	Student_132	98.25	11.58	88.69	90.79	93.33	Good	99.33	98.25	44.04	96.2
133	Student_133	53.29	6.01	56.36	39.49	34.73	Fail	37.73	53.29	23.79	36.36
134	Student_134	99.43	11.08	95.63	87.31	81.18	Good	79.2	99.43	38.07	73.23
135	Student_135	86.77	8.9	62.36	63.26	64.76	Average	61.77	86.77	38.66	58.99
136	Student_136	54.09	3.74	58.11	41.45	43.07	Fail	52.81	54.09	16.95	37.84
137	Student_137	58.13	6.41	33.8	59.25	39.03	Fail	31.8	58.13	33.08	34.09
138	Student_138	55.9	1.51	34.92	47.99	36.71	Fail	36.41	55.9	11.6	34.25
139	Student_139	70.72	4.02	37.21	50.43	44.06	Fail	36.74	70.72	17.84	42.13
140	Student_140	54.18	2.17	31.06	53.41	43.21	Fail	49.78	54.18	6.33	40.84
141	Student_141	61.87	6.91	53.36	49.63	47.28	Fail	47.24	61.87	28.66	42.58
142	Student_142	55.15	1.78	37.82	36.43	40.57	Fail	41.46	55.15	6.56	41.52
143	Student_143	98.73	8.67	73.66	86.3	98.35	Good	100	98.73	39.45	96.15
144	Student_144	57.9	4.55	31.21	38.71	49.63	Fail	46.66	57.9	22.33	38.46
145	Student_145	99.3	8.08	98.55	90.98	96.7	Good	100	99.3	30.84	96.94
146	Student_146	89.09	16.77	84.67	91.67	78.49	Good	76.54	89.09	59.77	77.67
147	Student_147	80.6	13.23	91.14	80.05	91.84	Good	90.67	80.6	59.59	80.78
148	Student_148	74.25	1.66	49.51	46.09	47.28	Fail	60.47	74.25	9.55	43.14
149	Student_149	83.54	19.77	95.14	98.62	92.08	Good	91.27	83.54	77.48	96.26
150	Student_150	62.43	5.32	55.2	49.27	30.6	Fail	23.73	62.43	23.99	22.64
151	Student_151	88.27	11.58	66.24	59.96	66.41	Average	67.82	88.27	46.69	57.71
152	Student_152	59.85	5.56	33.09	51.45	49.89	Fail	49.03	59.85	28.83	47.62
153	Student_153	80.96	24.61	82.21	96.77	94.56	Good	96.4	80.96	88.79	98.92
154	Student_154	79.18	12.12	71.08	64.3	58.14	Average	57.47	79.18	46.49	70.81
155	Student_155	93.35	21.73	92.87	94.95	85.89	Good	96.97	93.35	94.92	90.5
156	Student_156	85.45	5.32	63.07	55.13	58.08	Average	60.86	85.45	24.1	65.67
157	Student_157	59.16	3.77	50.17	44.71	38.93	Fail	33.56	59.16	23.94	41.36
158	Student_158	84.75	14.35	76.82	76.83	90.09	Good	90.71	84.75	51.29	85.29
159	Student_159	66.71	5.34	43.44	44.49	47.18	Fail	43.18	66.71	26.72	51.74
160	Student_160	90.38	16.15	70.77	83.53	84.5	Good	83.26	90.38	69.66	83.9
161	Student_161	74.97	10.38	62.81	68.98	69.05	Average	64.5	74.97	33.11	71.69
162	Student_162	96.26	20.21	98.67	75.46	79.89	Good	90.43	96.26	79.36	73.27
163	Student_163	65.19	11.12	71.55	60.6	73.08	Average	69.62	65.19	43.95	76.35
164	Student_164	66.51	14.28	58.44	57.33	62.1	Average	65.54	66.51	49.02	61.26
165	Student_165	85.14	12.84	79.22	95.08	88.48	Good	86.86	85.14	49.99	90.1
166	Student_166	86.23	18.38	91.48	81.82	85.34	Good	79.55	86.23	77.89	84.74
167	Student_167	53.05	2.27	49.75	39.54	40.45	Fail	41.44	53.05	7.13	38.51
168	Student_168	94.18	9.82	87.02	81.41	99.07	Good	100	94.18	40.49	100
169	Student_169	62.09	6.64	45.96	36.09	42.6	Fail	45.39	62.09	27.81	39.76
170	Student_170	73.79	5.21	53.76	57.11	34.54	Fail	21.43	73.79	20.78	23.42
171	Student_171	70.3	10.72	59.86	74.32	72.41	Average	66.24	70.3	39.35	59.29
172	Student_172	73.84	6.61	68.73	61.32	70.48	Average	75.27	73.84	29.73	71.77
173	Student_173	60.59	5.67	32.77	50.6	38.99	Fail	34.37	60.59	14.74	35.86
174	Student_174	91.73	10.86	92.11	96.57	80.42	Good	81.43	91.73	43.48	68.32
175	Student_175	67.39	4.26	65.41	68.96	63.61	Average	57.32	67.39	23.97	64.36
176	Student_176	70.8	8.3	64.27	66.43	74.6	Average	78.26	70.8	30.96	73.94
177	Student_177	53.41	5.87	41.73	45.7	44.28	Fail	48.94	53.41	19.84	40.78
178	Student_178	67.31	7.94	33.72	37.6	44.41	Fail	48.07	67.31	35.39	46.14
179	Student_179	91.57	12.66	72.38	77.14	97.35	Good	100	91.57	51.46	100
180	Student_180	83.84	13.5	76.8	83.87	76.74	Good	84.56	83.84	57.73	85.73
181	Student_181	77.98	4.74	69.21	60.38	63.45	Average	57.58	77.98	19.15	64.46
182	Student_182	97.6	19.06	85.99	83.11	83.33	Good	79.39	97.6	64.3	82.74
183	Student_183	81.74	14.94	65.88	67.83	68.19	Average	72.68	81.74	65.66	69.29
184	Student_184	76.63	4.66	63.5	77.03	54.37	Average	60.02	76.63	28.99	56.53
185	Student_185	93.8	11.42	86.07	77.42	86.26	Good	82.89	93.8	52.1	84.38
186	Student_186	68.9	3.43	49.28	54.89	48.45	Fail	44.73	68.9	0	49.67
187	Student_187	70.87	8.39	53.66	77.83	73.08	Average	69.82	70.87	35.82	62.06
188	Student_188	78.5	13.26	62.5	69.34	52.22	Average	44.19	78.5	50.71	52.79
189	Student_189	95.11	10.17	94.78	94.55	92.72	Good	86.36	95.11	35.26	96.06
190	Student_190	80.72	13.15	77.89	84	77.19	Good	70.95	80.72	53.21	73.76
191	Student_191	98.74	17.41	79.17	84.92	86.18	Good	84.71	98.74	68.9	85.51
192	Student_192	92.01	16.77	97.58	87.42	99.8	Good	100	92.01	69.62	92.02
193	Student_193	86.29	6.29	72.33	57.68	70.35	Average	72.52	86.29	25.44	61.6
194	Student_194	59.52	7.15	55.17	55.15	45.72	Fail	43.18	59.52	23	47.2
195	Student_195	57.62	1.57	41.69	39.34	43.83	Fail	41.41	57.62	3.4	38.72
196	Student_196	73.65	14.73	65.38	73.92	53.3	Average	53.92	73.65	55.23	40.86
197	Student_197	71.55	7.46	44.12	50.16	45.22	Fail	37.74	71.55	21.26	37.44
198	Student_198	54.37	4.52	41.56	38.66	37.31	Fail	42.11	54.37	11.22	30.55
199	Student_199	66.7	4.28	53.24	77.15	63.68	Average	70.11	66.7	16.06	69.1
200	Student_200	74.15	4.03	39.04	47.65	38.75	Fail	35.62	74.15	23.24	40
201	Student_201	52.64	5.49	36.27	50.49	42.94	Fail	40.95	52.64	19.28	36.84
202	Student_202	68.8	4.67	68.74	65.58	51.45	Average	57.67	68.8	14.89	47.34
203	Student_203	99.9	8.98	90.85	99.59	80.98	Good	80.36	99.9	30.01	90.16
204	Student_204	68.56	5.34	57.28	57.32	67.23	Average	70.17	68.56	21.51	73.78
205	Student_205	81.25	16.66	99.9	95.35	90.38	Good	89.92	81.25	72.54	82.55
206	Student_206	72.66	10.86	62.65	64.8	53.25	Average	61.03	72.66	53.45	61.39
207	Student_207	72.17	4.15	35.64	44.19	38.24	Fail	40.69	72.17	18.03	37.68
208	Student_208	96.55	20.47	93.08	75.28	85.4	Good	88.14	96.55	82.58	91
209	Student_209	77.03	4.21	56.24	72.49	53.41	Average	56.24	77.03	14.12	52.27
210	Student_210	90.71	11.66	70.36	81.03	99.4	Good	96.62	90.71	44.76	100
211	Student_211	70.04	7.72	44.15	37.74	40.9	Fail	38.58	70.04	34.03	32.78
212	Student_212	61.36	6.91	32.84	47.21	32.99	Fail	36.84	61.36	26.07	31.2
213	Student_213	86.49	20.54	84.28	84.4	84.86	Good	85.49	86.49	81.35	93.38
214	Student_214	89.19	21.35	96.76	98.88	94.67	Good	88.78	89.19	85.27	77.92
215	Student_215	72.89	11.57	60.5	60.86	70.94	Average	80.31	72.89	43.33	70.62
216	Student_216	50.96	7.31	43.38	50.93	43.12	Fail	48.01	50.96	28.87	40.37
217	Student_217	87.38	11	64.73	56.53	62.91	Average	63.1	87.38	33.9	67.7
218	Student_218	53.75	6.16	44.85	52.01	30.83	Fail	29.46	53.75	27.38	38.32
219	Student_219	81.7	20.18	72.16	76.78	75.3	Good	76.29	81.7	92.48	80.41
220	Student_220	99.13	20.54	80.6	82.41	83.74	Good	86.33	99.13	79.4	85.43
221	Student_221	69.37	5.63	35.37	39.35	31.96	Fail	21.79	69.37	24.39	32.24
222	Student_222	93.21	20.99	77.95	75.52	77.05	Good	87.61	93.21	88.22	74.65
223	Student_223	99.36	13.02	93.08	90.62	84.55	Good	80.6	99.36	58.48	86.02
224	Student_224	55.14	1.85	47.84	54.37	42.81	Fail	42.8	55.14	6.08	53.03
225	Student_225	90.61	8.71	99.05	94.97	82.32	Good	82.49	90.61	25.82	76.51
226	Student_226	74.5	5.21	46.89	53.7	46.15	Fail	56.13	74.5	22.18	43.34
227	Student_227	81.41	5.41	58.12	76.35	55.59	Average	55.15	81.41	22.28	55.06
228	Student_228	74.3	8.75	60.55	69.1	73.48	Average	81.42	74.3	33.27	80.49
229	Student_229	84.81	10.07	75.92	97.17	91.15	Good	93.18	84.81	39.61	92.71
230	Student_230	72.15	12.98	70.67	74.47	72.88	Average	68.07	72.15	52.64	79.76
231	Student_231	71.31	12.31	61.05	74.37	68.14	Average	68.81	71.31	51.05	75.38
232	Student_232	95.53	19.15	75.32	88.63	99.62	Good	99.03	95.53	78.2	100
233	Student_233	88.43	4.47	53.96	58.03	68.08	Average	62.66	88.43	16.79	60.63
234	Student_234	85.44	6.35	62.14	74.34	68.25	Average	70.04	85.44	27.32	79.88
235	Student_235	63.56	5.13	44.74	42.44	41.24	Fail	41.35	63.56	19.09	51.13
236	Student_236	67.22	7.11	48.45	54.03	33.19	Fail	35.97	67.22	31.65	33.63
237	Student_237	61.54	1.07	37.15	53.16	49.74	Fail	50.71	61.54	1.14	40.07
238	Student_238	81.98	14.83	94	80.1	88.88	Good	85.62	81.98	59.69	77.96
239	Student_239	68.33	5.31	35.45	43.88	45.6	Fail	49.44	68.33	13.12	47.38
240	Student_240	63.86	1.04	52.07	35.88	44.84	Fail	41.72	63.86	2.31	39.93
241	Student_241	55.06	7.71	40.67	43.17	32.96	Fail	17.46	55.06	33.68	20.94
242	Student_242	57.64	7.14	58.89	44.21	38.93	Fail	39.57	57.64	23.39	27.87
243	Student_243	83.05	13.75	64.23	64.01	60.27	Average	57.5	83.05	53.4	56.98
244	Student_244	93.91	8.05	88.59	83.89	94.85	Good	96.76	93.91	20.17	96.21
245	Student_245	52.32	5.12	43.95	51.06	31.29	Fail	41.28	52.32	13.64	41.13
246	Student_246	64.5	4.93	46.26	50.09	43.46	Fail	53.6	64.5	14.19	46.85
247	Student_247	85.12	6.97	69.8	66.46	51.92	Average	51.09	85.12	28.39	49.25
248	Student_248	51.46	3.34	52.76	52.69	45.69	Fail	41.56	51.46	15.03	48.35
249	Student_249	62.93	4.08	34.28	43.2	38.64	Fail	41.56	62.93	16.04	40.67
250	Student_250	52.22	2.54	47.35	53.39	49.87	Fail	48.02	52.22	8.25	55.05
251	Student_251	73.33	5.5	42.22	50.9	45.63	Fail	47.59	73.33	20.1	45.35
252	Student_252	82.37	14.97	95.19	84.6	89.3	Good	86	82.37	63.46	96.55
253	Student_253	91.76	11.14	80.87	83.36	75.65	Good	76.9	91.76	45.62	81.42
254	Student_254	80.48	22.14	78.19	87.95	82.47	Good	78.41	80.48	86.89	83.05
255	Student_255	88.52	6.85	60.31	75.07	70.96	Average	76.88	88.52	33.87	70.13
256	Student_256	54.65	6.62	43.29	47.07	32.66	Fail	29.71	54.65	36.23	39.1
257	Student_257	67.02	12.01	61.92	65.05	68.16	Average	71.47	67.02	41.81	63.17
258	Student_258	95.31	10.7	88.31	78.38	93.78	Good	87.46	95.31	45.41	83.23
259	Student_259	93.14	24.26	72.07	76.43	82.05	Good	85.96	93.14	100	71.46
260	Student_260	56.54	2.73	56.28	41.24	35.41	Fail	30.58	56.54	12.32	29.84
261	Student_261	95.19	15.65	93.3	76.63	87.19	Good	88.5	95.19	63.18	91.81
262	Student_262	65.84	4.69	71.75	58.2	63.26	Average	68.38	65.84	18.48	60.3
263	Student_263	60.28	3.43	56.1	35.55	43.21	Fail	42.21	60.28	16.17	44.64
264	Student_264	74.08	4.92	57.17	36.31	38.33	Fail	33.18	74.08	23.45	34.86
265	Student_265	71.5	12.04	73.55	60.9	66.29	Average	68.77	71.5	41.94	62.88
266	Student_266	83.96	17.61	83.92	99.3	90.21	Good	86.01	83.96	70.31	83.03
267	Student_267	86.99	9.94	74.54	80.63	81.27	Good	79.25	86.99	28.41	80.63
268	Student_268	86.27	10.17	62.56	57.64	71.42	Average	72.75	86.27	39.63	70.19
269	Student_269	83.07	4.74	66.99	67.5	52.03	Average	58.83	83.07	14.45	54.92
270	Student_270	76.46	9.33	53.98	76.75	71.16	Average	71.29	76.46	39.02	73.17
271	Student_271	81.73	9.09	59.88	69.97	63.58	Average	63.69	81.73	28.08	62.2
272	Student_272	51.56	4.59	53.39	46.48	31.03	Fail	34.72	51.56	15.8	20.49
273	Student_273	95.73	11.42	77.76	79.12	83.26	Good	83.51	95.73	50.51	90.75
274	Student_274	68.92	4.64	35.94	56.95	47.5	Fail	50.68	68.92	15.18	46.9
275	Student_275	86.76	6.63	60.83	77.65	69.22	Average	74.61	86.76	17	69.78
276	Student_276	50.68	1.46	43.45	57.73	40.72	Fail	39.08	50.68	7.13	51.92
277	Student_277	62.45	1.74	49.05	55.55	37.57	Fail	21.19	62.45	4.03	43.93
278	Student_278	84.39	14.61	54.89	67.04	57.15	Average	53.06	84.39	57.51	60.28
279	Student_279	69.82	5.04	48.4	54.95	37.88	Fail	43.92	69.82	16.51	37.86
280	Student_280	98.3	17.06	74.74	92.4	94.83	Good	94.66	98.3	78.11	94.75
281	Student_281	72.92	13.43	71.75	61.37	74.49	Average	72.79	72.92	45.93	76.17
282	Student_282	82.81	11.43	75.53	97.35	91.36	Good	97.19	82.81	59.89	94.21
283	Student_283	53.8	4.08	47.84	37.09	47.56	Fail	47.05	53.8	14.37	59.54
284	Student_284	70.09	4.54	58.05	45.44	49.58	Fail	39.12	70.09	19.08	66.89
285	Student_285	66.7	5.44	34.81	57.05	38.51	Fail	30.98	66.7	18.89	40.54
286	Student_286	83.24	8.21	86.79	88.18	92.98	Good	95.07	83.24	29.76	77.91
287	Student_287	87.26	4.87	67.56	59.31	71.37	Average	71.04	87.26	15.56	64.71
288	Student_288	85.48	9.95	67.05	62.23	61.73	Average	69	85.48	42.81	74.41
289	Student_289	70.54	4.21	40.38	47.36	46.48	Fail	42.81	70.54	9.79	51.51
290	Student_290	86.7	10.95	91.36	95.65	77.52	Good	75.97	86.7	45.62	80.5
291	Student_291	84.8	10.41	80.44	86.26	93.72	Good	89.3	84.8	30.72	92.55
292	Student_292	93.02	18.56	80.57	96.04	86.78	Good	84.18	93.02	75.61	78.46
293	Student_293	89.48	10.98	53.03	70.55	58.1	Average	48.64	89.48	48.17	69.84
294	Student_294	82.16	4.77	54.2	74.68	55.66	Average	53.73	82.16	12.71	49.9
295	Student_295	85.93	7.07	65.43	70.97	62.77	Average	62.51	85.93	31.67	67.88
296	Student_296	72.63	6.34	50.8	61.99	66.26	Average	65.58	72.63	25.62	57.16
297	Student_297	98.77	22.81	92.98	94.71	91.62	Good	100	98.77	99.23	90.11
298	Student_298	71.51	13.98	66.1	67.89	52.76	Average	61.93	71.51	51.64	59.71
299	Student_299	61.18	4.22	55.07	48.67	37.57	Fail	33.82	61.18	30.96	35.82
300	Student_300	74.42	1.78	42.25	36.05	44.72	Fail	34.5	74.42	0	42.14
